172.28.8.2 172.27.5.147 - - [01/Jul/2025:00:00:03 -0400] "GET /SOMetkOnline.APIS/check?deviceTSC=01VB1-NJTBUS--22095 HTTP/1.1" 200 4 14648us 14ms 0s
172.28.8.2 172.27.4.160 - - [01/Jul/2025:00:00:03 -0400] "GET /SOMetkOnline.APIS/check?deviceTSC=01VB1-NJTBUS--07267 HTTP/1.1" 200 4 40694us 40ms 0s
172.28.8.2 172.27.1.23 - - [01/Jul/2025:00:00:03 -0400] "GET /SOMetkOnline.APIS/check?deviceTSC=01VM1-PARKAV--08547 HTTP/1.1" 200 4 64741us 64ms 0s
172.28.8.2 172.27.3.160 - - [01/Jul/2025:00:00:03 -0400] "GET /SOMebkOnline.APIS//isalive HTTP/1.1" 200 - 7838us 7ms 0s
172.28.8.2 172.27.10.36 - - [01/Jul/2025:00:00:03 -0400] "GET /SOMetkOnline.APIS/check?deviceTSC=01VB1-NJTBUS--16001 HTTP/1.1" 200 4 12549us 12ms 0s
172.28.8.2 172.27.3.118 - - [01/Jul/2025:00:00:03 -0400] "GET /SOMetkOnline.APIS/check?deviceTSC=01VB1-NJTBUS--20055 HTTP/1.1" 200 4 17785us 17ms 0s
172.28.8.2 172.27.0.216 - - [01/Jul/2025:00:00:03 -0400] "GET /SOMetkOnline.APIS/check?deviceTSC=01VB1-NJTBUS--06396 HTTP/1.1" 200 4 26643us 26ms 0s
172.28.8.2 172.27.0.12 - - [01/Jul/2025:00:00:03 -0400] "POST /SOMebkOnline.APIS//paramHotlist/Delta HTTP/1.1" 200 66 92922us 92ms 0s
172.28.8.2 172.27.12.224 - - [01/Jul/2025:00:00:03 -0400] "GET /SOMebkOnline.APIS//ticketing/check?applicationId=F0544E4D505484000100000000000000 HTTP/1.1" 200 - 10438us 10ms 0s
172.28.8.2 172.27.13.88 - - [01/Jul/2025:00:00:03 -0400] "GET /SOMetkOnline.APIS/check?deviceTSC=01VB1-NJTBUS--24030 HTTP/1.1" 200 4 14140us 14ms 0s
172.28.8.2 172.27.13.133 - - [01/Jul/2025:00:00:03 -0400] "GET /SOMetkOnline.APIS/check?deviceTSC=01VB1-NJTBUS--06317 HTTP/1.1" 200 4 20890us 20ms 0s
172.28.8.2 172.27.3.42 - - [01/Jul/2025:00:00:03 -0400] "POST /SOMabtOnline.APIS//paramGraylist HTTP/1.1" 200 67 51243us 51ms 0s
172.28.8.2 172.27.2.220 - - [01/Jul/2025:00:00:03 -0400] "GET /SOMetkOnline.APIS/check?deviceTSC=01VB1-NJTBUS--20898 HTTP/1.1" 200 4 23022us 23ms 0s
172.28.8.2 172.27.7.88 - - [01/Jul/2025:00:00:03 -0400] "GET /SOMetkOnline.APIS/check?deviceTSC=01VB1-NJTBUS--07344 HTTP/1.1" 200 4 10953us 10ms 0s
172.28.8.2 172.27.0.123 - - [01/Jul/2025:00:00:03 -0400] "GET /SOMetkOnline.APIS/check?deviceTSC=01VB1-NJTBUS--21125 HTTP/1.1" 200 4 27159us 27ms 0s
172.28.8.2 172.27.2.188 - - [01/Jul/2025:00:00:03 -0400] "POST /SOMebkOnline.APIS//paramHotlist/Delta HTTP/1.1" 200 66 161802us 161ms 0s
172.28.8.2 172.27.0.12 - - [01/Jul/2025:00:00:03 -0400] "POST /SOMebkOnline.APIS//paramHotlist/Delta HTTP/1.1" 200 139220 122456us 122ms 0s
172.28.8.2 172.27.13.163 - - [01/Jul/2025:00:00:03 -0400] "GET /SOMetkOnline.APIS/check?deviceTSC=01VB1-NJTBUS--06017 HTTP/1.1" 200 4 32348us 32ms 0s
172.28.8.2 172.27.3.42 - - [01/Jul/2025:00:00:03 -0400] "POST /SOMebkOnline.APIS//paramConfig HTTP/1.1" 200 127 83940us 83ms 0s
172.28.8.2 172.27.6.107 - - [01/Jul/2025:00:00:03 -0400] "GET /SOMetkOnline.APIS/check?deviceTSC=01VB1-NJTBUS--21138 HTTP/1.1" 200 4 16751us 16ms 0s
172.28.8.2 172.27.6.195 - - [01/Jul/2025:00:00:03 -0400] "GET /SOMetkOnline.APIS/check?deviceTSC=01VB1-NJTBUS--22114 HTTP/1.1" 200 4 16216us 16ms 0s
172.28.8.2 172.27.0.221 - - [01/Jul/2025:00:00:03 -0400] "GET /SOMetkOnline.APIS/check?deviceTSC=01VB1-NJTBUS--21115 HTTP/1.1" 200 4 29244us 29ms 0s
172.28.8.2 172.27.9.235 - - [01/Jul/2025:00:00:03 -0400] "GET /SOMetkOnline.APIS/check?deviceTSC=01VB1-NJTBUS--24002 HTTP/1.1" 200 4 28708us 28ms 0s
172.28.8.2 172.27.2.188 - - [01/Jul/2025:00:00:03 -0400] "POST /SOMebkOnline.APIS//paramHotlist/Delta HTTP/1.1" 200 12612 198757us 198ms 0s
172.28.8.2 172.27.2.213 - - [01/Jul/2025:00:00:03 -0400] "POST /SOMebkOnline.APIS//paramConfig HTTP/1.1" 200 127 121552us 121ms 0s
172.28.8.2 172.27.6.72 - - [01/Jul/2025:00:00:04 -0400] "GET /SOMetkOnline.APIS/check?deviceTSC=01VB1-NJTBUS--05616 HTTP/1.1" 200 4 15710us 15ms 0s
172.28.8.2 172.27.4.154 - - [01/Jul/2025:00:00:04 -0400] "GET /SOMetkOnline.APIS/check?deviceTSC=01VB1-NJTBUS--06290 HTTP/1.1" 200 4 18305us 18ms 0s
172.28.8.2 172.27.0.236 - - [01/Jul/2025:00:00:04 -0400] "GET /SOMetkOnline.APIS/check?deviceTSC=01VB1-NJTBUS--07268 HTTP/1.1" 200 4 32455us 32ms 0s
172.28.8.2 172.27.6.131 - - [01/Jul/2025:00:00:04 -0400] "GET /SOMetkOnline.APIS/check?deviceTSC=01VB1-NJTBUS--05413 HTTP/1.1" 200 4 16193us 16ms 0s
172.28.8.2 172.27.8.92 - - [01/Jul/2025:00:00:04 -0400] "GET /SOMetkOnline.APIS/check?deviceTSC=01VB1-NJTBUS--20835 HTTP/1.1" 200 4 15144us 15ms 0s
172.28.8.2 172.27.6.216 - - [01/Jul/2025:00:00:04 -0400] "GET /SOMetkOnline.APIS/check?deviceTSC=01VB1-NJTBUS--05570 HTTP/1.1" 200 4 27090us 27ms 0s
172.28.8.2 172.27.11.239 - - [01/Jul/2025:00:00:04 -0400] "GET /SOMetkOnline.APIS/check?deviceTSC=01VB1-NJTBUS--06193 HTTP/1.1" 200 4 25593us 25ms 0s
